"","NAME","over65pct","pplpovpct","hsepovpct","whitepct","blkafrpct","asianpct","hislatpct","medIncome","medAge","population"
"20","Maine",0.200351630709881,0.117903089575119,0.121615370739801,0.964270096713421,0.0201641043151138,0.0169660319942014,0.0165482084505186,29808,44.7,1335492
"21","Maryland",0.149975211203207,0.0918909324940942,0.0894148568567806,0.58329949518579,0.318436185795023,0.0746951908405064,0.100763800647566,40341,38.7,6018848
"22","Massachusetts",0.161605785693505,0.102936265895735,0.108348930294858,0.809254376982413,0.0939518313339084,0.0754098245791252,0.118118785446956,37886,39.5,6850553
"23","Michigan",0.167215121725313,0.143561938517874,0.135702016827779,0.810470569523239,0.152475724428803,0.037849570483073,0.0509121433298563,29672,39.7,9965265
"24","Minnesota",0.154348311403611,0.0967015784857852,0.0951215751442508,0.85542614576971,0.0771000999752309,0.0569420233534374,0.0538442651209391,36076,38,5563378
"25","Mississippi",0.154476350162745,0.202921122487544,0.196775788350897,0.596083055389694,0.384776529293149,0.0128403594938779,0.0305593921494911,24509,37.5,2984418
"26","Missouri",0.164904150921144,0.136772549754583,0.133074427598683,0.84588011944484,0.127744880759913,0.0254206859724386,0.0417354227990257,29649,38.6,6104910
"27","Montana",0.181517328812953,0.131293643029162,0.132572667930287,0.914072159208261,0.0107343175503903,0.0139818340854082,0.038370569048274,28409,39.9,1050649
"28","Nebraska",0.153595244052062,0.111082432511638,0.111289081846634,0.894225912750167,0.060472032638121,0.0308074236996173,0.108782071806164,31933,36.5,1914571
"29","Nevada",0.153809638195898,0.131298803159991,0.125601446201627,0.696126877366368,0.108584966535257,0.102779521609268,0.286989020926651,31206,38,2972382
"30","New Hampshire",0.174906017547347,0.0756176375254499,0.0791110392698252,0.948466164833502,0.0228116998139637,0.0343566318825271,0.037454269785272,35807,42.9,1348124
"31","New Jersey",0.15884265624509,0.0998232064911887,0.10018088576473,0.699520741278119,0.148480999555894,0.104050311184217,0.202143987561867,38238,39.9,8878503
"32","New Mexico",0.168551853469658,0.191252525627004,0.179886164544908,0.775249539535875,0.0289956194974895,0.0233261997635312,0.487856363867497,25881,37.8,2092454
"33","New York",0.160752846916096,0.140652136736893,0.138886899150974,0.660759361218259,0.172659713956226,0.0939939717925096,0.190114569459041,33562,38.8,19572319
"34","North Carolina",0.158600357179181,0.146981173855578,0.138952339211223,0.709123519855476,0.229933025981025,0.0346723136256103,0.0937824285456541,28836,38.7,10264876
"35","North Dakota",0.149174658425805,0.106780313685435,0.111984091580224,0.890301129748638,0.0353646079049367,0.0204448955157608,0.0374208587886885,35499,35.1,756717
"36","Ohio",0.166557518375393,0.140176400556701,0.136772890356128,0.839133321670639,0.141968308758595,0.0279997326560391,0.0380437491747385,30171,39.4,11655397
"37","Oklahoma",0.153423326985128,0.156750148269698,0.150302588879783,0.793769435552154,0.0914957778924805,0.0286322710895606,0.106259805180441,27637,36.6,3932870
"38","Oregon",0.171813280197627,0.131669422083164,0.125693090865779,0.887776487159315,0.02898685482092,0.0597580562559522,0.130082960373655,30710,39.3,4129803
"39","Pennsylvania",0.178377410677222,0.124325338578663,0.121162508761938,0.82683541374644,0.126782097215892,0.0400507210630785,0.0731121296670531,31099,40.8,12791530
"40","Puerto Rico",0.197000584912159,0.440517193683459,0.448748756973942,0.710074320909751,0.165118502721303,0.00249092421846725,0.987184366663081,13547,41.7,3318447
"41","Rhode Island",0.168259349186696,0.123782840435767,0.130658799626787,0.830179970129518,0.0848830577234304,0.0422358027715797,0.154390100176783,32256,39.9,1057231
"42","South Carolina",0.171995890699621,0.15204338602558,0.148631379360225,0.691605889572312,0.280914857096649,0.0206124275664107,0.0568550149119484,27366,39.4,5020806
"43","South Dakota",0.162563545354097,0.131421873569763,0.114966158241797,0.867260560646331,0.0274499849535628,0.0182590238422858,0.03793080476616,31033,37,870638
"44","Tennessee",0.160242503155295,0.152370731027366,0.147489770114411,0.795789342524081,0.178890641665161,0.0222010875559443,0.0542785328427944,27607,38.7,6709356
"45","Texas",0.122520244963564,0.147341157914626,0.137412866977099,0.76282530154076,0.13190506331443,0.0554033465936064,0.393366747277577,30596,34.6,28260856
"46","Utah",0.10783512784612,0.0979172290333045,0.0966220647837489,0.891901055524843,0.0179124064209803,0.0345699885819388,0.140411153534174,30801,30.8,3096848
"47","Vermont",0.187828861484544,0.109489708447712,0.111529867822435,0.96076647450878,0.0193540739981388,0.0232303347839946,0.0192819947686497,31492,42.9,624313
"48","Virginia",0.150446693066136,0.105551374803575,0.102592314613089,0.708903806190884,0.210877024359797,0.0785795620608902,0.0936784512511321,35421,38.2,8454463
"49","Washington",0.150953112914225,0.108058969479042,0.102828749935051,0.805837219802469,0.0555095975787492,0.109673590616667,0.126629585444943,35989,37.7,7404107
"50","West Virginia",0.193756138897984,0.175591191103887,0.173031115843213,0.947427646982757,0.0470685988317866,0.0108919526441626,0.0156099278877239,25320,42.5,1817305
"51","Wisconsin",0.164672382482581,0.113278981304431,0.109777724628905,0.876153484301423,0.0750819069697081,0.0335512914119774,0.0681076398842561,32009,39.5,5790716
"52","Wyoming",0.157415184226469,0.10981658723131,0.108647941556099,0.939327807457179,0.016815140166327,0.015483009307705,0.0986895549925648,31974,37.7,581024
